id	sn	s1	s2	s3	s4	s5	s6	d	dp2	dp2s	d2	d2s	dp4	dp4s	d4	d4s
28101	1	0	0	0	1	0	0	4	6	2	5	2	5	2	4	1
28103	0	0	0	0	0	0	0	5	6	2	5	2	5	3	5	0
28105	1	1	0	0	0	0	0	5	7	2	6	2	6	3	5	1
28107	0	0	0	0	0	0	0	5	7	2	6	2	6	2	5	0
28109	1	0	0	0	1	0	0	3	3	2	3	2	3	2	3	0
28111	0	0	0	0	0	0	0	3	4	2	4	2	4	2	3	0
28113	1	0	0	0	1	0	0	3	4	2	4	2	4	2	3	0
28115	1	0	0	0	0	0	1	6	7	2	6	2	6	2	5	0
28117	1	0	0	0	1	0	0	6	8	2	7	2	6	2	6	0
28119	0	0	0	0	0	0	0	5	7	2	6	2	6	2	5	0
28121	3	0	0	1	0	0	2	4	5	2	5	2	5	3	4	1
28123	0	0	0	0	0	0	0	4	5	2	5	2	5	3	4	1
28125	0	0	0	0	0	0	0	4	5	2	5	2	5	3	4	1
28127	0	0	0	0	0	0	0	4	5	2	4	2	4	3	4	1
28129	0	0	0	0	0	0	0	4	5	2	4	2	4	3	4	1
28131	1	0	0	0	1	0	0	3	4	2	3	2	4	2	3	0
28133	1	0	0	0	1	0	0	5	6	2	5	2	5	3	4	1
28135	0	0	0	0	0	0	0	5	7	2	6	2	5	3	5	0
28137	1	0	0	0	1	0	0	6	7	2	6	2	6	2	5	0
28139	1	0	1	0	0	0	0	6	8	1	7	2	6	2	6	0
28141	0	0	0	0	0	0	0	6	8	1	7	2	6	2	6	0
28143	0	0	0	0	0	0	0	6	7	1	6	2	6	2	5	0
28145	0	0	0	0	0	0	0	6	7	2	6	2	6	2	5	0
28147	0	0	0	0	0	0	0	3	4	2	4	2	4	2	3	0
28149	0	0	0	0	0	0	0	4	5	2	4	2	4	3	4	1
28151	1	0	0	0	0	0	1	4	6	2	5	2	5	3	4	0
28153	0	0	0	0	0	0	0	4	5	2	4	2	4	2	4	0
28155	0	0	0	0	0	0	0	5	7	2	6	2	6	3	5	0
28157	0	0	0	0	0	0	0	3	4	1	3	2	4	2	3	0
28159	0	0	0	0	0	0	0	5	6	2	5	2	5	3	4	1
28161	0	0	0	0	0	0	0	5	7	2	6	2	6	3	5	0
28163	0	0	0	0	0	0	0	4	6	2	5	2	5	3	4	1
29001	2	1	1	0	0	0	0	6	6	3	6	5	5	4	6	7
29003	0	0	0	0	0	0	0	5	5	3	5	5	4	4	5	7
29005	0	0	0	0	0	0	0	5	5	2	5	4	4	4	4	7
29007	0	0	0	0	0	0	0	6	7	3	7	5	6	4	6	7
29009	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29011	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29013	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29015	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29017	0	0	0	0	0	0	0	7	8	3	7	5	6	4	6	7
29019	4	1	2	0	0	0	1	6	7	3	6	5	6	4	6	7
29021	4	1	0	1	1	0	1	5	6	3	5	5	4	4	5	7
29023	1	0	0	0	1	0	0	6	8	3	7	5	6	4	6	7
29025	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29027	2	0	2	0	0	0	0	6	7	3	7	5	6	4	6	7
29029	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29031	4	1	0	0	1	1	1	7	9	3	8	5	7	4	7	7
29033	0	0	0	0	0	0	0	6	6	3	6	5	5	4	5	7
29035	0	0	0	0	0	0	0	6	8	3	7	5	6	4	6	7
29037	1	0	1	0	0	0	0	5	6	3	6	5	5	4	5	7
29039	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29041	0	0	0	0	0	0	0	6	6	3	6	5	5	4	6	7
29043	0	0	0	0	0	0	0	5	7	3	6	5	5	4	5	7
29045	0	0	0	0	0	0	0	6	7	3	7	4	5	4	6	7
29047	3	0	2	1	0	0	0	5	6	3	6	5	5	4	5	7
29049	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29051	2	1	0	0	0	0	1	6	7	3	7	5	6	4	6	7
29053	0	0	0	0	0	0	0	6	7	3	6	5	5	4	6	7
29055	0	0	0	0	0	0	0	6	8	3	7	5	6	4	6	7
29057	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29059	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29061	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29063	0	0	0	0	0	0	0	5	6	3	5	5	4	4	5	7
29065	0	0	0	0	0	0	0	6	7	3	7	5	6	4	6	7
29067	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29069	0	0	0	0	0	0	0	6	8	3	7	4	6	4	6	7
29071	1	0	0	0	1	0	0	7	8	4	7	5	6	4	7	7
29073	0	0	0	0	0	0	0	7	7	3	7	5	6	4	6	7
29075	0	0	0	0	0	0	0	5	5	3	5	4	4	4	5	7
29077	15	1	7	3	1	2	1	6	7	3	6	5	5	4	5	7
29079	1	0	0	0	1	0	0	5	6	3	6	5	5	4	5	7
29081	0	0	0	0	0	0	0	5	6	3	5	4	4	4	5	7
29083	0	0	0	0	0	0	0	5	6	3	6	5	5	4	5	7
29085	0	0	0	0	0	0	0	6	7	3	6	5	5	4	5	7
29087	0	0	0	0	0	0	0	5	5	2	5	4	4	4	5	7
